protein_A,protein_B,label
6118_reviewed,6774_reviewed,1
375_reviewed,23163_reviewed,1
375_reviewed_mutant_3,23163_reviewed,0
377_reviewed,23647_reviewed,1
377_reviewed,23647_reviewed_mutant_4,0
377_reviewed,27236_reviewed,1
377_reviewed_mutant_5,27236_reviewed,0
333_reviewed,1600_reviewed,1
333_reviewed_mutant_7,1600_reviewed,0
10370_reviewed,7020_reviewed,1
10370_reviewed_mutant_8,7020_reviewed,0
1436_reviewed,2885_reviewed,1
1436_reviewed_mutant_10,2885_reviewed,0
6521_reviewed,22950_reviewed,1
6521_reviewed,22950_reviewed_mutant_11,0
602_reviewed,580_reviewed,1
602_reviewed_mutant_12,580_reviewed,0
153_reviewed,10755_reviewed,1
153_reviewed,10755_reviewed_mutant_13,0
421_reviewed,1013_reviewed,1
421_reviewed,1013_reviewed_mutant_14,0
5664_reviewed,823_reviewed,1
5664_reviewed,823_reviewed_mutant_15,0
9223_reviewed,1499_reviewed,1
9223_reviewed,1499_reviewed_mutant_16,0
5925_reviewed,1523_reviewed,1
5925_reviewed_mutant_17,1523_reviewed,0
7251_reviewed,1026_reviewed,1
7251_reviewed,1026_reviewed_mutant_18,0
4174_reviewed_mutant_19,4171_reviewed,0
4999_reviewed,4171_reviewed,1
4999_reviewed,4171_reviewed_mutant_21,0
10926_reviewed,4171_reviewed,1
10926_reviewed_mutant_22,4171_reviewed,0
10270_reviewed,4171_reviewed,1
10270_reviewed,4171_reviewed_mutant_23,0
4171_reviewed,4171_reviewed,1
4171_reviewed_mutant_24,4171_reviewed,0
6117_reviewed,4171_reviewed,1
6117_reviewed_mutant_25,4171_reviewed,0
5001_reviewed_mutant_26,4171_reviewed,0
4172_reviewed,4171_reviewed,1
4172_reviewed,4171_reviewed_mutant_27,0
9322_reviewed,998_reviewed_mutant_29,0
1033_reviewed,1017_reviewed,1
1033_reviewed,1017_reviewed_mutant_30,0
5932_reviewed,5933_reviewed,1
5932_reviewed_mutant_31,5933_reviewed,0
3486_reviewed,1277_reviewed,1
3486_reviewed_mutant_32,1277_reviewed,0
896_reviewed,27335_reviewed,1
896_reviewed,27335_reviewed_mutant_35,0
10928_reviewed,891_reviewed,1
1465_reviewed,1465_reviewed,1
1465_reviewed,1465_reviewed_mutant_37,0
1445_reviewed,3480_reviewed,1
1445_reviewed_mutant_38,3480_reviewed,0
1634_reviewed,1956_reviewed_mutant_39,0
266743_reviewed,405_reviewed,1
