3799_reviewed	26128_reviewed
22918_reviewed	712_reviewed
57551_reviewed	701_reviewed
722_reviewed	958_reviewed
84282_reviewed	57506_reviewed
84282_reviewed	64135_reviewed
5585_reviewed	6195_reviewed
5586_reviewed	6195_reviewed
5586_reviewed	6197_reviewed
5585_reviewed	6197_reviewed
10940_reviewed	114548_reviewed
2494_reviewed	23411_reviewed
2175_reviewed	2176_reviewed
3791_reviewed	2321_reviewed
50616_reviewed	3587_reviewed
4194_reviewed	7157_reviewed
6786_reviewed	7222_reviewed
6786_reviewed	7225_reviewed
8915_reviewed	330_reviewed
7444_reviewed	1845_reviewed
7444_reviewed	7182_reviewed
7444_reviewed	5609_reviewed
6383_reviewed	2246_reviewed
2876_reviewed	240_reviewed
56288_reviewed	3984_reviewed
10454_reviewed	7182_reviewed
26993_reviewed	5576_reviewed
26993_reviewed	10270_reviewed
55664_reviewed	5894_reviewed
4086_reviewed	10393_reviewed
4089_reviewed	10393_reviewed
55837_reviewed	1874_reviewed
7409_reviewed	6464_reviewed
2623_reviewed	5590_reviewed
30011_reviewed	8764_reviewed
1045_reviewed	6908_reviewed
1045_reviewed	6908_reviewed
93643_reviewed	50848_reviewed
23493_reviewed	23190_reviewed
7353_reviewed	23190_reviewed
29126_reviewed	940_reviewed
29126_reviewed	1493_reviewed
8841_reviewed	2034_reviewed
26060_reviewed	5867_reviewed
26060_reviewed	7879_reviewed
26060_reviewed	8766_reviewed
55198_reviewed	5867_reviewed
55198_reviewed	7879_reviewed
55198_reviewed	8766_reviewed
3066_reviewed	5970_reviewed
55763_reviewed	387_reviewed
7248_reviewed	1027_reviewed
7248_reviewed	6502_reviewed
369_reviewed	598_reviewed
369_reviewed	596_reviewed
3315_reviewed	1975_reviewed
3315_reviewed	8661_reviewed
3315_reviewed	1977_reviewed
3315_reviewed	1973_reviewed
3315_reviewed	8569_reviewed
5294_reviewed	5296_reviewed
5585_reviewed	10746_reviewed
5586_reviewed	4215_reviewed
598_reviewed	57506_reviewed
4976_reviewed	57506_reviewed
9402_reviewed	10657_reviewed
9402_reviewed	6654_reviewed
9402_reviewed	867_reviewed
4830_reviewed	4193_reviewed
2064_reviewed	5296_reviewed
2264_reviewed	2247_reviewed
29109_reviewed	387_reviewed
29109_reviewed	998_reviewed
29109_reviewed	5880_reviewed
29109_reviewed	5881_reviewed
7424_reviewed	2321_reviewed
722_reviewed	958_reviewed
10401_reviewed	6772_reviewed
4800_reviewed	6908_reviewed
6908_reviewed	4800_reviewed
10244_reviewed	7879_reviewed
10244_reviewed	3265_reviewed
9021_reviewed	3717_reviewed
5621_reviewed	51343_reviewed
100_reviewed	1803_reviewed
4734_reviewed	51429_reviewed
1457_reviewed	7343_reviewed
1977_reviewed	27161_reviewed
4488_reviewed	5371_reviewed
8932_reviewed	29947_reviewed
53615_reviewed	29947_reviewed
10399_reviewed	7157_reviewed
3308_reviewed	581_reviewed
334_reviewed	972_reviewed
11315_reviewed	10891_reviewed
4690_reviewed	1956_reviewed
3066_reviewed	1911_reviewed
3066_reviewed	2146_reviewed
3066_reviewed	60528_reviewed
3066_reviewed	6015_reviewed
5925_reviewed	4088_reviewed
5934_reviewed	4088_reviewed
81502_reviewed	972_reviewed
10464_reviewed	3566_reviewed
6878_reviewed	6879_reviewed
1380_reviewed	5296_reviewed
2775_reviewed	2139_reviewed
9702_reviewed	2246_reviewed
6667_reviewed	25842_reviewed
4654_reviewed	6418_reviewed
4790_reviewed	6418_reviewed
7157_reviewed	6418_reviewed
8668_reviewed	92_reviewed
8668_reviewed	90_reviewed
8668_reviewed	7046_reviewed
8717_reviewed	8797_reviewed
8737_reviewed	8797_reviewed
8717_reviewed	8795_reviewed
8737_reviewed	8795_reviewed
7189_reviewed	3661_reviewed
3481_reviewed	3480_reviewed
7027_reviewed	1017_reviewed
7027_reviewed	8900_reviewed
7529_reviewed	7248_reviewed
7531_reviewed	7248_reviewed
2810_reviewed	7248_reviewed
7534_reviewed	7248_reviewed
1855_reviewed	7248_reviewed
207_reviewed	7248_reviewed
2308_reviewed	7248_reviewed
1027_reviewed	7248_reviewed
166_reviewed	3065_reviewed
