2624_reviewed	brown fat cell differentiation
5371_reviewed	apoptotic process
6118_reviewed	base-excision repair
6774_reviewed	acute-phase response
375_reviewed	cellular response to virus
23163_reviewed	endocytic recycling
377_reviewed	intracellular protein transport
23647_reviewed	actin cytoskeleton organization
27236_reviewed	intracellular protein transport
351_reviewed	apoptotic process
10513_reviewed	intracellular protein transport
333_reviewed	animal organ morphogenesis
1600_reviewed	adult walking behavior
10370_reviewed	adrenal cortex formation
7020_reviewed	bone morphogenesis
409_reviewed	adult walking behavior
5900_reviewed	Ras protein signal transduction
1436_reviewed	axon guidance
2885_reviewed	B cell receptor signaling pathway
6521_reviewed	bicarbonate transport
602_reviewed	antimicrobial humoral response
580_reviewed	cellular response to ionizing radiation
153_reviewed	adenylate cyclase-activating adrenergic receptor signaling pathway
10755_reviewed	cellular response to interleukin-7
421_reviewed	cell adhesion
1013_reviewed	adherens junction organization
5664_reviewed	amyloid precursor protein catabolic process
823_reviewed	mammary gland involution
9223_reviewed	cell adhesion
1499_reviewed	acinar cell differentiation
5925_reviewed	aortic valve morphogenesis
1523_reviewed	negative regulation of transcription by RNA polymerase II
7251_reviewed	autophagosome maturation
1026_reviewed	cellular response to amino acid starvation
4174_reviewed	DNA replication
4171_reviewed	apoptotic process
8317_reviewed	cell cycle phase transition
4999_reviewed	DNA replication initiation
10926_reviewed	DNA replication
10270_reviewed	cell cycle G2/M phase transition
6117_reviewed	base-excision repair
5001_reviewed	DNA replication
4172_reviewed	DNA replication
7534_reviewed	angiogenesis
993_reviewed	cell division
9322_reviewed	actin cytoskeleton organization
998_reviewed	actin cytoskeleton organization
1033_reviewed	G1/S transition of mitotic cell cycle
1017_reviewed	cell division
5932_reviewed	blastocyst hatching
5933_reviewed	cell differentiation
3486_reviewed	apoptotic process
1277_reviewed	blood vessel development
1386_reviewed	abducens nucleus development
4088_reviewed	activin receptor signaling pathway
4089_reviewed	adrenal gland development
896_reviewed	cell division
27335_reviewed	formation of cytoplasmic translation initiation complex
10928_reviewed	chemotaxis
891_reviewed	cell division
1465_reviewed	muscle tissue development
1445_reviewed	adaptive immune response
3480_reviewed	amyloid-beta clearance
1634_reviewed	animal organ morphogenesis
1956_reviewed	ERBB2-EGFR signaling pathway
6493_reviewed	cell differentiation
405_reviewed	cell differentiation
6492_reviewed	cell differentiation
266743_reviewed	cell differentiation
1839_reviewed	cell chemotaxis
7704_reviewed	anterior/posterior pattern specification
5111_reviewed	base-excision repair, gap-filling
1647_reviewed	apoptotic process
5335_reviewed	calcium-mediated signaling
1915_reviewed	cellular response to epidermal growth factor stimulus
3895_reviewed	microtubule-based movement
1936_reviewed	cellular response to heat
3791_reviewed	angiogenesis
308_reviewed	blood coagulation
133522_reviewed	energy homeostasis
2099_reviewed	androgen metabolic process
79039_reviewed	estrogen receptor signaling pathway
30836_reviewed	ribosomal small subunit biogenesis
2260_reviewed	angiogenesis
2224_reviewed	cholesterol biosynthetic process
6514_reviewed	carbohydrate metabolic process
3838_reviewed	DNA metabolic process
6517_reviewed	amylopectin biosynthetic process
1616_reviewed	androgen receptor signaling pathway
2898_reviewed	behavioral fear response
6386_reviewed	actin cytoskeleton organization
9463_reviewed	cellular response to decreased oxygen levels
2897_reviewed	central nervous system development
904_reviewed	cell division
2896_reviewed	astrocyte activation involved in immune response
10287_reviewed	autophagy
2781_reviewed	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
2775_reviewed	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
2773_reviewed	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
3298_reviewed	positive regulation of transcription by RNA polymerase II
7329_reviewed	cell division
3984_reviewed	actin cytoskeleton organization
3084_reviewed	activation of protein kinase B activity
4209_reviewed	adult heart development
10971_reviewed	intracellular protein localization
3667_reviewed	cellular response to fatty acid
7531_reviewed	cellular response to heat
8651_reviewed	cell surface receptor signaling pathway via JAK-STAT
5747_reviewed	angiogenesis
5599_reviewed	autophagy
3643_reviewed	adrenal gland development
3552_reviewed	apoptotic process
4692_reviewed	axon extension
3717_reviewed	actin filament polymerization
10419_reviewed	chromatin remodeling
3875_reviewed	anatomical structure morphogenesis
10049_reviewed	actin cytoskeleton organization
4000_reviewed	cellular response to hypoxia
4001_reviewed	heterochromatin formation
6720_reviewed	cellular response to fatty acid
149428_reviewed	apoptotic process
596_reviewed	actin filament organization
663_reviewed	apoptotic process
7159_reviewed	intrinsic apoptotic signaling pathway by p53 class mediator
57142_reviewed	apoptotic process
8678_reviewed	amyloid-beta metabolic process
4790_reviewed	antibacterial innate immune response
4066_reviewed	B cell differentiation
8631_reviewed	adaptive immune response
5788_reviewed	alpha-beta T cell proliferation
7409_reviewed	B cell proliferation
2547_reviewed	activation of innate immune response
4689_reviewed	phagocytosis
7520_reviewed	activation of innate immune response
4361_reviewed	cell population proliferation
23468_reviewed	chromosome condensation
51588_reviewed	central nervous system development
51176_reviewed	anatomical structure regression
4286_reviewed	bone remodeling
4904_reviewed	cellular response to interleukin-7
8683_reviewed	mRNA processing
55729_reviewed	DNA methylation-dependent constitutive heterochromatin formation
4152_reviewed	DNA methylation-dependent constitutive heterochromatin formation
10036_reviewed	DNA repair
10401_reviewed	negative regulation of gene expression
23598_reviewed	male gonad development
4176_reviewed	cell population proliferation
23595_reviewed	DNA replication
4804_reviewed	axon guidance
5567_reviewed	adenylate cyclase-activating G protein-coupled receptor signaling pathway
1326_reviewed	MAPK cascade
5970_reviewed	animal organ morphogenesis
64320_reviewed	positive regulation of NF-kappaB transcription factor activity
10848_reviewed	apoptotic process
3178_reviewed	alternative mRNA splicing, via spliceosome
2237_reviewed	base-excision repair, gap-filling
4839_reviewed	maturation of LSU-rRNA
10445_reviewed	chromatin remodeling
2113_reviewed	cell differentiation
208_reviewed	cellular response to high light intensity
26060_reviewed	adiponectin-activated signaling pathway
2114_reviewed	cell differentiation
8558_reviewed	cell projection organization
22941_reviewed	adult behavior
2017_reviewed	actin cytoskeleton organization
7456_reviewed	actin filament-based movement
22938_reviewed	cellular response to retinoic acid
6497_reviewed	anterior/posterior axis specification
4893_reviewed	MAPK cascade
5910_reviewed	angiotensin-activated signaling pathway involved in heart process
11146_reviewed	cell surface receptor signaling pathway
4233_reviewed	branching morphogenesis of an epithelial tube
2146_reviewed	B cell differentiation
5966_reviewed	canonical NF-kappaB signal transduction
5531_reviewed	double-strand break repair via homologous recombination
4985_reviewed	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
9737_reviewed	endosome to lysosome transport
4641_reviewed	actin filament organization
867_reviewed	cellular response to hypoxia
387_reviewed	alpha-beta T cell lineage commitment
5079_reviewed	adult behavior
7091_reviewed	cellular response to leukemia inhibitory factor
8503_reviewed	B cell differentiation
5290_reviewed	actin cytoskeleton organization
9784_reviewed	aorta development
6403_reviewed	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
5311_reviewed	aorta development
7220_reviewed	calcium ion transmembrane transport
3739_reviewed	action potential
1739_reviewed	actin filament organization
3364_reviewed	cellular response to ionizing radiation
5573_reviewed	adenylate cyclase-activating G protein-coupled receptor signaling pathway
5575_reviewed	adenylate cyclase-activating G protein-coupled receptor signaling pathway
8165_reviewed	antiviral innate immune response
2241_reviewed	actin cytoskeleton organization
7110_reviewed	acrosome assembly
5594_reviewed	apoptotic process
4751_reviewed	cell division
22927_reviewed	cellular response to mechanical stimulus
10399_reviewed	cellular response to glucose stimulus
