2624_reviewed	Nucleus
5371_reviewed	Nucleus. Nucleus, nucleoplasm. Cytoplasm
6118_reviewed	Nucleus
6774_reviewed	Cytoplasm
375_reviewed	Golgi apparatus membrane
23163_reviewed	Golgi apparatus, trans-Golgi network membrane
377_reviewed	Golgi apparatus
23647_reviewed	Golgi apparatus
27236_reviewed	Golgi apparatus
351_reviewed	Cell membrane
10513_reviewed	Nucleus
333_reviewed	Cell membrane; Single-pass type I membrane protein
1600_reviewed	Cytoplasm
10370_reviewed	Nucleus
7020_reviewed	Nucleus
409_reviewed	Cytoplasm. Nucleus. Cell membrane. Membrane, clathrin-coated pit
5900_reviewed	Cytoplasm
1436_reviewed	Cell membrane; Single-pass type I membrane protein
2885_reviewed	Cytoplasm
6521_reviewed	Cell membrane
22950_reviewed	Nucleus
602_reviewed	Nucleus. Cytoplasm
580_reviewed	Nucleus. Note=During S phase of the cell cycle, colocalizes with BRCA1 into discrete subnuclear foci. Can translocate to the cytoplasm. Localizes at sites of DNA damage at double-strand breaks (DSBs); recruitment to DNA damage sites is mediated by the BRCA1-A complex
153_reviewed	Cell membrane
10755_reviewed	Cytoplasm
421_reviewed	Cell junction, adherens junction
1013_reviewed	Cell membrane; Single-pass type I membrane protein
5664_reviewed	Endoplasmic reticulum membrane
823_reviewed	Cytoplasm
9223_reviewed	Cell junction, tight junction
1499_reviewed	Cytoplasm
5925_reviewed	Nucleus
1523_reviewed	Nucleus
7251_reviewed	Cytoplasm
1026_reviewed	Cytoplasm
4174_reviewed	Nucleus
4171_reviewed	Nucleus
8317_reviewed	Nucleus
4999_reviewed	Nucleus
10926_reviewed	Nucleus
10270_reviewed	Nucleus
6117_reviewed	Nucleus
5001_reviewed	Nucleus
4172_reviewed	Nucleus
7534_reviewed	Cytoplasm
9322_reviewed	Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Lysosome. Golgi apparatus. Cell membrane. Cell projection, phagocytic cup. Note=Translocates to the plasma membrane in response to insulin stimulation, and this may require active RHOQ (By similarity). Localizes to cortical regions coincident with F-actin, to lysosomes and to sites of phagocytosis in macrophages. Also localizes to the Golgi, and this requires AKAP9
998_reviewed	Cell membrane
1033_reviewed	Cytoplasm, perinuclear region
